question,answers
Where does our food come from?,"87.3% of food and beverage purchases by U.S. consumers, including both grocery store and eating out purchases, were from domestic production. The remaining 12.7% were imported food and beverages such as produce from Chile or wines from France"
which type of family do green manure crops belongs to.,leguminous
name one legume that can be intercropped with maize in kiboga.,Groundnuts 
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
Suggest the disadvantages of sandy  soil,"Poor water-holding capacity: Sandy soils have a low water-holding capacity, which means that they require more frequent irrigation and may not be suitable for crops that require consistent soil moisture.
Low nutrient retention: Sandy soils have low nutrient retention capacity, which can lead to leaching of nutrients and require more frequent application of fertilizers and organic matter.
Low organic matter content: Sandy soils are often low in organic matter, which can lead to soil erosion and reduced soil fertility.
Susceptible to erosion: Sandy soils are prone to erosion by wind and water, which can lead to soil degradation and loss of topsoil."
what are some of the  preventive measures for managing CMD,"planting virus-free or resistant cassava varieties, practicing good field sanitation, and controlling whitefly populations through integrated pest management strategies. Early detection and removal of infected plants can also help prevent the spread of the disease within a field or area."
Maize flour obtained after starch extraction is commonly referred as?,"""maize meal"" or ""corn meal,"""
what are complete fertilizers.,"provide a balance of nitrogen, phosphorus, and potassium in a single product"
wat is the vitalness of calcium?,"Calcium plays a crucial role in plant development and helps in cell wall formation, nutrient uptake, and overall plant health"
define what is intercropping., several crops are grown at the same time
Which type of maize is good for storage,The type of maize that is good for storage is one that has a high dry matter content and a hard outer layer. This helps to prevent moisture from getting into the kernel and reduces the risk of spoilage during storage
which nutrients are provided by fertilizers?," nitrogen, phosphorus, and potassium"
"What size should cassava stem be for planting?

",between 25 to 30 centimeters in length
can i use insecticides to manage cassava whitefly infestation?,but it is important to use the appropriate type and dosage to avoid damaging the cassava plants and the environment
why is it important in agriculture?,It is an essential aspect of agriculture that plays a crucial role in ensuring sustainable crop yields and protecting the environment.
name other chemicals used for seed dressing.,"imidacloprid, clothianidin, and thiamethoxam, which are neonicotinoid insecticides."
what Crop residues can be used to make farmyard manure.,"maize stalks, bean stems, and rice straw"
how can the use on integrated nutrients management help overcome problem due to persistent use of fertilizer.,"Agronomists can advise farmers on the use of organic amendments such as farmyard manure, compost, and green manure to improve soil health and nutrient availability."
What is maize and why is it important?,"Maize, also known as corn, is one of the most widely cultivated crops in the world, and is a staple food in many regions"
how can farmers ensure proper drainage.,Ensuring that fields are properly drained can help to reduce the risk of infection.
name two commonly used nitrogen-based fertilizers that can be applied 4-6 weeks after germination.,"Urea: Urea is a widely used nitrogen fertilizer that contains a high concentration of nitrogen. It is typically applied in granular form and can be broadcasted or applied as a side-dressing around the base of the plants. Urea is readily available to plants and helps promote vigorous growth and greening.

Ammonium Nitrate: Ammonium nitrate is another nitrogen-based fertilizer that provides a quick-release source of nitrogen. It is commonly used for top-dressing or side-dressing application in the early stages of crop growth. Ammonium nitrate delivers nitrogen rapidly to the plants, stimulating growth and improving overall plant health."
what are the causes of soil degradation?,"erosion, compaction, and nutrient depletion"
how does farm yard manure (FYM) helps preserve moisture in the soil.,"FYM, being an organic matter, has the ability to improve soil structure and increase its water-holding capacity. It enhances the soil's ability to retain moisture and reduces water runoff or drainage, allowing the water to stay within the root zone of the plants for a longer time.
"
why do farmers plant cover crops?,"Cover crops manage soil erosion, soil fertility, soil quality, water, weeds, pests, diseases, biodiversity and wildlife in an agroecosystem"
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
what are the control measures for Cassava Anthracnose Disease:," use of disease-free planting material, crop rotation, and the application of fungicides."
how do apply fertilizers using top-dressing method.,"To apply fertilizer using the top-dressing method, you should first prepare the fertilizer by calculating the recommended dosage according to the soil analysis results and the crop requirements. Then, carefully spread the fertilizer evenly around the base of each plant, taking care not to damage the plant roots. After applying the fertilizer, you can use a hoe or other tool to gently scratch the soil surface to incorporate the fertilizer into the soil."
which pest feeds on the sap of the cassava plant.,Cassava mealybug:
how do you space maize when planting.,when spacing maize it may solely depend on the variety of the maize taken up and or if an intercropping pattern is used on the maize field
name any other disease that causes bean to wither and die after germination.,Fusarium Wilt
Which crop is the major source of food in africa?,Cassava 
What are some sustainable farming practices that can help reduce environmental impact?,Sustainable farming practices can help
What is crop cultivation?," is the practice of growing crops for food, fiber, or fuel"
what is Mechanical pest control.,"is the use of hands-on techniques as well as simple equipment and devices, that provides a protective barrier between plants and insects"
"For example, if the beans are infested with bean weevils or bean fly, when is it recommended to spray?","it is recommended to apply insecticides at the early stages of plant growth, when the pests are most active"
what are some of the pest management practices for armyworm.,"planting cassava in well-drained soil, maintaining a healthy crop by providing adequate water and nutrients, and rotating crops to reduce armyworm populations."
How can I test for moisture in maize at a local level,"Hand Feel: Take a handful of maize kernels and squeeze them tightly in your hand. If the kernels feel hard and dry, it indicates low moisture content. If they feel slightly pliable or soft, it suggests higher moisture content.

Bite Test: Take a few kernels and try to bite into them. If they crack easily, it indicates lower moisture content. If they are chewy or squashy, it suggests higher moisture content.

Visual Inspection: Examine the appearance of the kernels. If they appear shriveled, discolored, or have damaged husks, it could indicate lower moisture content. If the kernels appear plump, shiny, and well-hydrated, it suggests higher moisture content.
"
what is Maize cob.,is the central part of the maize ear that contains the kernels. It is typically used as animal feed and is less commonly consumed by humans. Maize cob has a lower nutritional value compared to milled maize as it contains more fiber and less starch.
what factors should be considered to determine the exact number of cuttings needed for your specific planting,"The spacing between cassava plants can vary depending on the desired plant density and the specific variety being grown. Common spacing ranges from 1 meter by 1 meter to 1.2 meters by 1.2 meters. Calculate the number of plants per hectare based on the chosen spacing.

Planting method: Cassava can be planted directly in the field using single-stem cuttings or multiple-node stem cuttings. The number of cuttings required may vary depending on the planting method and the length of the cuttings."
which fungal disease affects cassava,Root rot
can high temperatures cause drought?,"High temperatures can lead to increased evapotranspiration rates, which can lead to soil moisture deficit and reduced water availability for plants."
which crops can be intercropped with cassava to help attract natural predators of cassava beetles., legumes or grasses
"which insecticides are effective against a wide range of insect pests, including aphids, thrips, and whiteflies.",spinosad and neem oil
how long should the cassava stem be cut?,20-30 cm long
can human activity spread bacterial blight in the cassava field?, People working in cassava fields can inadvertently spread the disease through contact with infected plants or contaminated soil.
what type of fertilizers can be applied for maize?,"DAP, NPK, and CAN"
why should we have more livestock on the grazzing ground?,their movement and their waste and their relentless chomping stimulate grasses to grow
in which phase is the armyworms species dangerous to crops., gregaria
how can conservation tillage helps improve soil fertility.,"Reducing the frequency and intensity of tillage can help to preserve soil structure, prevent erosion, and improve nutrient retention."
What type of soil is beans doing well,"Beans generally do well in soil that is well-draining, fertile, and rich in organic matter. The ideal soil for beans is a sandy loam soil with a pH range of 6.0 to 7.0. The soil should also be free of pests and diseases that can damage the plants.
"
what is Livestock management.,"involves taking care of different animals that are raised for various purposes, such as meat, milk, wool, and eggs."
name any one example of forest pest., bark beetles
how does high humidity causes beans pod to have water.," In regions with high humidity, moisture in the air can condense on the bean pods, causing them to appear water-filled. This is more common in areas with poor airflow or where plants are grown in dense canopies."
why do farmers intercrop maize with cassava.,"Maize can be intercropped with cassava to provide a complementary source of food and income. Cassava can help to suppress weeds and reduce soil erosion, while maize provides a higher yield per unit area."
how can proper sanitation be used to control root rot.,"Infected plant debris should be removed from the field, and tools and equipment should be disinfected to prevent the spread of root rot."
how can rainfall increase water quality.," improve water quality by replenishing rivers, streams, and groundwater supplies"
why should farmers ensure proper land preparation before planting cassava.,for ensuring a healthy and high-yielding cassava crop
name the steps the farmer can use to control pest after detection the garden.,"Identify the disease: Try to identify the specific disease affecting the cassava plants. Observe the symptoms, such as leaf discoloration, wilting, lesions, or any other unusual signs. You can consult local agricultural extension services, agricultural experts, or plant pathologists to help identify the disease accurately.

Isolate and remove infected plants: If the disease is confirmed, promptly isolate and remove the infected plants from the field. This prevents further spread of the disease to healthy plants. Properly dispose of the infected plants by burning, burying, or removing them from the field.

Sanitize tools and equipment: Clean and sanitize any tools, equipment, or machinery that have come into contact with the infected plants. This helps prevent the disease from spreading to other fields or areas.

Implement cultural practices: Adopt cultural practices that can help manage or control the disease. These may include adjusting planting density, optimizing nutrition and irrigation practices, and practicing crop rotation. Some diseases may be controlled by removing alternate host plants or weeds that can serve as reservoirs for the pathogens.

Seek expert advice: Consult local agricultural extension services, agricultural experts, or plant pathologists for specific recommendations on disease management strategies. They can provide guidance on appropriate fungicides or other control measures if necessary.

Monitor and scout regularly: Continuously monitor the field to track the spread and severity of the disease. Regular scouting helps identify any new infections and allows for timely intervention."
why is it important in agriculture?,It is an essential aspect of agriculture that plays a crucial role in ensuring sustainable crop yields and protecting the environment.
which type of farmers perform manual weeding.,small-scale cassava farms
what are Soil microarthropods.,"These are small, soil-dwelling organisms such as mites and springtails that play important roles in soil nutrient cycling and decomposition."
what are some of the signs of cutworms.,damaged stems and cut plants
what is a contaminant.,"A plant that is considered undesirable in a seed production field, including off types,
other varieties, other crops, weeds and plants with disease symptoms"
define embryo dormancy?,occurs when the embryo is immature and unable to germinate even under favorable conditions
which natural water can fish grow in?,"ponds, lakes, rivers, and streams"
which family does the African armyworm belongs to.,Noctuidae
how are cover crops used in agroecosystem where water for crop production is in short supply, cover crops can be used as a mulch to conserve water by shading and cooling the soil surface
what is the duration of NARO 1 maize variety for maturity.,75 to 90 days after planting
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
what is the estimates of the annual work-related death toll among agricultural employees.,"at least 170,000"
how can sun drying helps control pest in beans.,"Expose the beans to direct sunlight for a few days, as pests are generally sensitive to heat. Spread the beans in thin layers and turn them regularly to ensure thorough drying."
when secondary outbreaks occur?, occur when the moths from the primary outbreak are carried downwind and the adults mate and lay eggs in same location due to wind patterns
"which beetle feed on the leaves of bean plants, causing holes and defoliation, which can reduce yields.",Bean leaf beetles (Cerotoma trifurcata)
what is Poaceae.,Poaceae is a family of flowering grasses which includes cereal grasses and the grasses of grasslands and pastures
what the several challenges facing cassava production.,"pests and diseases, low yields, and limited access to markets and processing facilities"
what happens during biological nitrogen fixation?,convert biologically unavailable atmospheric nitrogen gas (N2) to biologically available ammonium (NH+4)
what is Food Supply Continuum,The process of getting food from the farm to the table
"When is the best time to harvest beans, and how is this determined?",when the pods turn yellow and dry up
